Credit,Heading,Subheading
Artwork By,,
Photography,,
Executive Producer,,
Other,,
Written By,,
Written-By,Writing & Arrangement,
Adapted By,Writing & Arrangement,
Arranged By,Writing & Arrangement,
Beats,Writing & Arrangement,
Cadenza,Writing & Arrangement,
Composed By,Writing & Arrangement,
Concept By,Writing & Arrangement,
Copyist,Writing & Arrangement,
Created By,Writing & Arrangement,
Instrumentation By,Writing & Arrangement,
Libretto By,Writing & Arrangement,
Lyrics By,Writing & Arrangement,
Music By,Writing & Arrangement,
Musical Assistance,Writing & Arrangement,
Orchestrated By,Writing & Arrangement,
Programmed By,Writing & Arrangement,
Score,Writing & Arrangement,
Score Editor,Writing & Arrangement,
Sequenced By,Writing & Arrangement,
Songwriter,Writing & Arrangement,
Sound Designer,Writing & Arrangement,
Transcription By,Writing & Arrangement,
Translated By,Writing & Arrangement,
Words By,Writing & Arrangement,
Featuring,Featuring & Presenting,
Hosted By,Featuring & Presenting,
Music Consultant,Writing & Arrangement,
Presenter,Featuring & Presenting,
Chorus Master,Conducting & Leading,
Concertmaster,Conducting & Leading,
Concertmistress,Conducting & Leading,
Conductor,Conducting & Leading,
Contractor,Conducting & Leading,
Directed By,Conducting & Leading,
Leader,Conducting & Leading,
Music Director,Conducting & Leading,
Repetiteur,Conducting & Leading,
Co-producer,Production,
Commissioned By,Production,
Compilation Producer,Production,
Compiled By,Production,
Curated By,Production,
Editor,Production,
Executive-Producer,Production,
Post Production,Production,
Producer,Production,
Recording Supervisor,Production,
Reissue Producer,Production,
Research,Production,
Supervised By,Production,
Remix,Remix,
DJ Mix,DJ Mix,
,,
,,
Animation,Visual,
Art Direction,Visual,
Artwork,Visual,
Assemblage,Visual,
Cameraman,Visual,
CGI Artist,Visual,
Cinematographer,Visual,
Cover,Visual,
Creative Director,Visual,
Design,Visual,
Design Concept,Visual,
Director Of Photography,Visual,
Film Director,Visual,
Film Editor,Visual,
Film Producer,Visual,
Film Technician,Visual,
Gaffer,Visual,
Graphics,Visual,
Grip,Visual,
Illustration,Visual,
Image Editor,Visual,
Layout,Visual,
Lighting,Visual,
Lighting Director,Visual,
Lithography,Visual,
Painting,Visual,
Photography By,Visual,
Production Manager,Visual,
Realization,Visual,
Set Designer,Visual,
Sleeve,Visual,
Stage Manager,Visual,
Typography,Visual,
Video Editor,Visual,
VJ,Visual,
Abridged By,Acting, Literary & Spoken
Adapted By (Text),Acting, Literary & Spoken
Author,Acting, Literary & Spoken
Booklet Editor,Acting, Literary & Spoken
Choreography,Acting, Literary & Spoken
Dialog,Acting, Literary & Spoken
Interviewee,Acting, Literary & Spoken
Interviewer,Acting, Literary & Spoken
Liner Notes,Acting, Literary & Spoken
Music Librarian,Acting, Literary & Spoken
Narrator,Acting, Literary & Spoken
Read By,Acting, Literary & Spoken
Screenwriter,Acting, Literary & Spoken
Script By,Acting, Literary & Spoken
Sleeve Notes,Acting, Literary & Spoken
Text By,Acting, Literary & Spoken
Voice Actor,Acting, Literary & Spoken
A&R,Management,
Administrator,Management,
Advisor,Management,
Booking,Management,
Consultant,Management,
Coordinator,Management,
Legal,Management,
Management,Management,
Product Manager,Management,
Promotion,Management,
Public Relations,Management,
Tour Manager,Management,
Authoring,Technical,
Crew,Technical,
DAW,Technical,
Edited By,Technical,
Engineer,Technical,
Lacquer Cut By,Technical,
Lathe Cut By,Technical,
Luthier,Technical,
Mastered By,Technical,
Mixed By,Technical,
Plated By,Technical,
Recorded By,Technical,
Remastered By,Technical,
Tape Op,Technical,
Technician,Technical,
Tracking By,Technical,
Transferred By,Technical,
Alto Vocals,Vocal,
Backing Vocals,Vocal,
Baritone Vocals,Vocal,
Bass Vocals,Vocal,
Caller,Vocal,
Choir,Vocal,
Chorus,Vocal,
Contralto Vocals,Vocal,
Coro,Vocal,
Countertenor Vocals,Vocal,
Harmony Vocals,Vocal,
Human Beatbox,Vocal,
Humming,Vocal,
Kakegoe,Vocal,
Lead Vocals,Vocal,
MC,Vocal,
Mezzo-soprano Vocals,Vocal,
Overtone Voice,Vocal,
Rap,Vocal,
Scat,Vocal,
Solo Vocal,Vocal,
Soprano Vocals,Vocal,
Speech,Vocal,
Tenor Vocals,Vocal,
Toasting,Vocal,
Treble Vocals,Vocal,
Vocal Percussion,Vocal,
Vocalese,Vocal,
Vocals,Vocal,
Voice,Vocal,
Whistling,Vocal,
Yodeling,Vocal,
Afoxé,Instruments,Drums and percussion
Agogô,Instruments,Drums and percussion
Ashiko,Instruments,Drums and percussion
Atabal,Instruments,Drums and percussion
Bapang,Instruments,Drums and percussion
Bass Drum,Instruments,Drums and percussion
Bata,Instruments,Drums and percussion
Bell Tree,Instruments,Drums and percussion
Bells,Instruments,Drums and percussion
Bendir,Instruments,Drums and percussion
Bodhrán,Instruments,Drums and percussion
Body Percussion,Instruments,Drums and percussion
Bombo,Instruments,Drums and percussion
Bones,Instruments,Drums and percussion
Bongos,Instruments,Drums and percussion
Buhay,Instruments,Drums and percussion
Buk,Instruments,Drums and percussion
Cabasa,Instruments,Drums and percussion
Caixa,Instruments,Drums and percussion
Cajón,Instruments,Drums and percussion
Calabash,Instruments,Drums and percussion
Castanets,Instruments,Drums and percussion
Caxixi,Instruments,Drums and percussion
Chak'chas,Instruments,Drums and percussion
Ching,Instruments,Drums and percussion
Claves,Instruments,Drums and percussion
Congas,Instruments,Drums and percussion
Cowbell,Instruments,Drums and percussion
Cuica,Instruments,Drums and percussion
Cymbal,Instruments,Drums and percussion
Daf,Instruments,Drums and percussion
Davul,Instruments,Drums and percussion
Dhol,Instruments,Drums and percussion
Dholak,Instruments,Drums and percussion
Djembe,Instruments,Drums and percussion
Drum,Instruments,Drums and percussion
Drum Programming,Instruments,Drums and percussion
Drums,Instruments,Drums and percussion
Dunun,Instruments,Drums and percussion
Electronic Drums,Instruments,Drums and percussion
Finger Cymbals,Instruments,Drums and percussion
Finger Snaps,Instruments,Drums and percussion
Frame Drum,Instruments,Drums and percussion
Friction Drum,Instruments,Drums and percussion
Ganzá,Instruments,Drums and percussion
Ghatam,Instruments,Drums and percussion
Ghungroo,Instruments,Drums and percussion
Goblet Drum,Instruments,Drums and percussion
Gong,Instruments,Drums and percussion
Guiro,Instruments,Drums and percussion
Handclaps,Instruments,Drums and percussion
Hihat,Instruments,Drums and percussion
Idiophone,Instruments,Drums and percussion
Janggu,Instruments,Drums and percussion
K'kwaengwari,Instruments,Drums and percussion
Kanjira,Instruments,Drums and percussion
Karkabas,Instruments,Drums and percussion
Khartal,Instruments,Drums and percussion
Khurdak,Instruments,Drums and percussion
Lion's Roar,Instruments,Drums and percussion
Mallets,Instruments,Drums and percussion
Maracas,Instruments,Drums and percussion
Monkey stick,Instruments,Drums and percussion
Mridangam,Instruments,Drums and percussion
Pakhavaj,Instruments,Drums and percussion
Pandeiro,Instruments,Drums and percussion
Percussion,Instruments,Drums and percussion
Rainstick,Instruments,Drums and percussion
Ratchet,Instruments,Drums and percussion
Rattle,Instruments,Drums and percussion
Reco-reco,Instruments,Drums and percussion
Repinique,Instruments,Drums and percussion
Rototoms,Instruments,Drums and percussion
Scraper,Instruments,Drums and percussion
Shaker,Instruments,Drums and percussion
Shekere,Instruments,Drums and percussion
Singing Bowls,Instruments,Drums and percussion
Skratjie,Instruments,Drums and percussion
Slapstick,Instruments,Drums and percussion
Slit Drum,Instruments,Drums and percussion
Snare,Instruments,Drums and percussion
Spoons,Instruments,Drums and percussion
Surdo,Instruments,Drums and percussion
Tabla,Instruments,Drums and percussion
Taiko,Instruments,Drums and percussion
Talking Drum,Instruments,Drums and percussion
Tam-tam,Instruments,Drums and percussion
